ticker,date,price_type,price
WFC,2021-05-10,close,46.6
WFC,2021-05-11,close,45.72
WFC,2021-05-12,close,45.64
WFC,2021-05-13,close,46.4
WFC,2021-05-14,close,46.96
WFC,2021-05-17,close,47.9
WFC,2021-05-18,close,46.86
WFC,2021-05-19,close,46.17
WFC,2021-05-20,close,45.73
WFC,2021-05-21,close,45.88
WFC,2021-05-24,close,46.24
WFC,2021-05-25,close,46.09
WFC,2021-05-26,close,46.4
WFC,2021-05-27,close,46.76
WFC,2021-05-28,close,46.72
WFC,2021-06-01,close,47.26
WFC,2021-06-02,close,46.81
WFC,2021-06-03,close,46.46
WFC,2021-06-04,close,46.96
WFC,2021-06-07,close,47.11
WFC,2021-06-08,close,46.61
WFC,2021-06-09,close,45.92
WFC,2021-06-10,close,45.09
WFC,2021-06-11,close,45.68
WFC,2021-06-14,close,45.15
WFC,2021-06-15,close,45.46
WFC,2021-06-16,close,45.57
WFC,2021-06-17,close,42.79
WFC,2021-06-18,close,41.75
WFC,2021-06-21,close,43.28
WFC,2021-06-22,close,43.54
WFC,2021-06-23,close,43.96
WFC,2021-06-24,close,45.18
WFC,2021-06-25,close,46.38
WFC,2021-06-28,close,45.79
WFC,2021-06-29,close,44.79
WFC,2021-06-30,close,45.29
WFC,2021-07-01,close,45.41
WFC,2021-07-02,close,45.07
WFC,2021-07-06,close,43.49
WFC,2021-07-07,close,43.4
WFC,2021-07-08,close,42.32
WFC,2021-07-09,close,43.91
WFC,2021-07-12,close,44.16
WFC,2021-07-13,close,43.23
WFC,2021-07-14,close,44.95
WFC,2021-07-15,close,45.0
WFC,2021-07-16,close,44.28
WFC,2021-07-19,close,43.05
WFC,2021-07-20,close,44.84
WFC,2021-07-21,close,45.8
WFC,2021-07-22,close,45.03
WFC,2021-07-23,close,44.59
WFC,2021-07-26,close,45.01
WFC,2021-07-27,close,45.14
WFC,2021-07-28,close,45.51
WFC,2021-07-29,close,46.5
WFC,2021-07-30,close,45.94
WFC,2021-08-02,close,45.79
WFC,2021-08-03,close,46.83
WFC,2021-08-04,close,46.15
WFC,2021-08-05,close,46.99
WFC,2021-08-06,close,48.77
WFC,2021-08-09,close,48.65
WFC,2021-08-10,close,49.63
WFC,2021-08-11,close,50.66
WFC,2021-08-12,close,51.15
WFC,2021-08-13,close,50.37
WFC,2021-08-16,close,49.41
WFC,2021-08-17,close,48.71
WFC,2021-08-18,close,47.97
WFC,2021-08-19,close,47.25
WFC,2021-08-20,close,47.42
WFC,2021-08-23,close,47.61
WFC,2021-08-24,close,48.36
WFC,2021-08-25,close,49.29
WFC,2021-08-26,close,49.05
WFC,2021-08-27,close,49.81
WFC,2021-08-30,close,48.41
WFC,2021-08-31,close,45.7
WFC,2021-09-01,close,43.45
WFC,2021-09-02,close,44.57
WFC,2021-09-03,close,44.17
WFC,2021-09-07,close,44.31
WFC,2021-09-08,close,43.82
WFC,2021-09-09,close,44.36
WFC,2021-09-10,close,44.33
WFC,2021-09-13,close,45.76
WFC,2021-09-14,close,46.05
WFC,2021-09-15,close,46.64
WFC,2021-09-16,close,46.28
WFC,2021-09-17,close,46.47
WFC,2021-09-20,close,45.81
WFC,2021-09-21,close,45.85
WFC,2021-09-22,close,47.08
WFC,2021-09-23,close,47.8
WFC,2021-09-24,close,47.92
WFC,2021-09-27,close,47.56
WFC,2021-09-28,close,45.92
WFC,2021-09-29,close,47.03
WFC,2021-09-30,close,46.41
WFC,2021-10-01,close,47.02
WFC,2021-10-04,close,47.02
WFC,2021-10-05,close,47.96
WFC,2021-10-06,close,47.87
WFC,2021-10-07,close,47.76
WFC,2021-10-08,close,48.0
WFC,2021-10-11,close,47.28
WFC,2021-10-12,close,46.65
WFC,2021-10-13,close,46.05
WFC,2021-10-14,close,45.31
WFC,2021-10-15,close,48.38
WFC,2021-10-18,close,49.43
WFC,2021-10-19,close,50.34
WFC,2021-10-20,close,50.16
WFC,2021-10-21,close,50.33
WFC,2021-10-22,close,50.66
WFC,2021-10-25,close,50.62
WFC,2021-10-26,close,50.63
WFC,2021-10-27,close,50.05
WFC,2021-10-28,close,51.36
WFC,2021-10-29,close,51.16
WFC,2021-11-01,close,51.71
WFC,2021-11-02,close,51.3
WFC,2021-11-03,close,52.0
WFC,2021-11-04,close,50.62
WFC,2021-11-05,close,50.44
WFC,2021-11-08,close,50.87
WFC,2021-11-09,close,49.89
WFC,2021-11-10,close,50.36
WFC,2021-11-11,close,50.59
WFC,2021-11-12,close,50.96
WFC,2021-11-15,close,51.08
WFC,2021-11-16,close,50.37
WFC,2021-11-17,close,49.84
WFC,2021-11-18,close,49.9
WFC,2021-11-19,close,48.82
WFC,2021-11-22,close,50.34
WFC,2021-11-23,close,51.4
WFC,2021-11-24,close,51.31
WFC,2021-11-26,close,48.43
WFC,2021-11-29,close,49.16
WFC,2021-11-30,close,47.78
WFC,2021-12-01,close,47.21
WFC,2021-12-02,close,48.91
WFC,2021-12-03,close,47.75
WFC,2021-12-06,close,48.81
WFC,2021-12-07,close,50.25
WFC,2021-12-08,close,49.41
WFC,2021-12-09,close,49.69
WFC,2021-12-10,close,50.2
WFC,2021-12-13,close,48.56
WFC,2021-12-14,close,48.89
WFC,2021-12-15,close,48.94
WFC,2021-12-16,close,50.3
WFC,2021-12-17,close,47.95
WFC,2021-12-20,close,46.85
WFC,2021-12-21,close,47.81
WFC,2021-12-22,close,48.03
WFC,2021-12-23,close,48.36
WFC,2021-12-27,close,48.77
WFC,2021-12-28,close,48.42
WFC,2021-12-29,close,48.45
WFC,2021-12-30,close,48.1
WFC,2021-12-31,close,47.98
WFC,2022-01-03,close,50.73
WFC,2022-01-04,close,52.75
WFC,2022-01-05,close,52.29
WFC,2022-01-06,close,53.63
WFC,2022-01-07,close,54.77
WFC,2022-01-10,close,55.35
WFC,2022-01-11,close,56.06
WFC,2022-01-12,close,56.4
WFC,2022-01-13,close,56.0
WFC,2022-01-14,close,58.06
WFC,2022-01-18,close,56.69
WFC,2022-01-19,close,55.57
